fullDate,location,leakClass,month,date,weekday,year,week,lon,lat,ObjectId
1294963200000,1205 W FAYETTE ST,0,1.0,14.0,,2011.0,2.0,-76.1755746057759,43.0467332304331,1
1294963200000,1003 JAMESVILLE AVE,0,1.0,14.0,,2011.0,2.0,-76.1289183682834,43.0168952398567,2
1294963200000,PALMER AVE & CHENEY ST,0,1.0,14.0,,2011.0,2.0,-76.162257176012,43.0300222543868,3
1295136000000,2100 E FAYETTE ST,0,1.0,16.0,,2011.0,3.0,-76.1136829509462,43.0481581239255,4
1295222400000,206 BUTTERNUT ST,0,1.0,17.0,,2011.0,3.0,-76.1519361182007,43.0577131761086,5
1295740800000,104 CROLY ST,0,1.0,23.0,,2011.0,4.0,-76.1129337964234,43.0503665597289,6
1295568000000,169 MARSHALL ST,0,1.0,21.0,,2011.0,3.0,-76.1351535135851,43.0416673820757,7
1295481600000,356 NICHOLS AVE,0,1.0,20.0,,2011.0,3.0,-76.1034576580358,43.0627852023022,8
1296000000000,634 RICHMOND AVE,0,1.0,26.0,,2011.0,4.0,-76.1768054100046,43.0503435066048,9
1296000000000,1559 LEMOYNE AVE,0,1.0,26.0,,2011.0,4.0,-76.14912006238,43.083098621823,10
1296000000000,313 SEELEY RD,0,1.0,26.0,,2011.0,4.0,-76.1038165358901,43.0512061436391,11
1296086400000,543 CUMBERLAND AVE,0,1.0,27.0,,2011.0,4.0,-76.1126517038646,43.0361600036413,12
1296086400000,LOCKWOOD RD & KIMBER RD,0,1.0,27.0,,2011.0,4.0,-76.0934463447244,43.038227848591,13
1296172800000,543 CUMBERLAND AVE,0,1.0,28.0,,2011.0,4.0,-76.1126517038646,43.0361600036413,14
1296345600000,1225 W FAYETTE ST,0,1.0,30.0,,2011.0,5.0,-76.1759312549101,43.0468643214129,15
1296432000000,HIGHRIDGE PL & HIGHRIDGE DR,0,1.0,31.0,,2011.0,5.0,-76.1996898652051,43.0268318678504,16
1296432000000,400 BROOKFORD RD,0,1.0,31.0,,2011.0,5.0,-76.1008283907088,43.0372116948827,17
1296432000000,425 RICH ST,0,1.0,31.0,,2011.0,5.0,-76.1610865975349,43.0312814598342,18
1296432000000,425 RICH ST,0,1.0,31.0,,2011.0,5.0,-76.1610865975349,43.0312814598342,19
1296777600000,312 ARNOLD AVE,0,2.0,4.0,,2011.0,5.0,-76.1256352612786,43.0169528567806,20
1296950400000,718 SUMMIT AVE,0,2.0,6.0,,2011.0,6.0,-76.1655913207997,43.0205766617243,21
1296691200000,S MCBRIDE ST & MONROE ST,0,2.0,3.0,,2011.0,5.0,-76.1439983950428,43.0416164824396,22
1297036800000,819 HIAWATHA BLVD E,0,2.0,7.0,,2011.0,6.0,-76.1603079055073,43.0792800801658,23
1297123200000,305 MAPLEWOOD AVE,0,2.0,8.0,,2011.0,6.0,-76.1366035777099,42.9889747617576,24
1297209600000,2410 ERIE BLVD E,0,2.0,9.0,,2011.0,6.0,-76.1052124342983,43.0533367265069,25
1297296000000,422 HAWLEY AVE,0,2.0,10.0,,2011.0,6.0,-76.1384435861266,43.0532376319575,26
1297296000000,700 E WASHINGTON ST,0,2.0,10.0,,2011.0,6.0,-76.1420746582517,43.0494091434208,27
1297296000000,250 WHEATON RD,0,2.0,10.0,,2011.0,6.0,-76.1261912869984,43.0702990344592,28
1297468800000,518 HILLSBORO PKWY,0,2.0,12.0,,2011.0,7.0,-76.0856279861081,43.0402747106008,29
1297555200000,2564 ERIE BLVD E,0,2.0,13.0,,2011.0,7.0,-76.1021500586301,43.0536962987634,30
1297555200000,115 TURTLE ST,0,2.0,13.0,,2011.0,7.0,-76.1619814183726,43.0662651145183,31
1297555200000,175 MILNOR AVE,0,2.0,13.0,,2011.0,7.0,-76.1009779817632,43.0475329791301,32
1297728000000,S EDWARDS AVE & CALEB AVE,0,2.0,15.0,,2011.0,7.0,-76.1055412769811,43.0598034931724,33
1297728000000,100 KEEN PL,0,2.0,15.0,,2011.0,7.0,-76.1573325774884,43.0156233490615,34
1297728000000,204 HERKIMER ST,0,2.0,15.0,,2011.0,7.0,-76.1898542497868,43.0542573483938,35
1297814400000,606 THURBER ST,0,2.0,16.0,,2011.0,7.0,-76.1258886239179,43.0193627081386,36
1297900800000,1524 VALLEY DR,0,2.0,17.0,,2011.0,7.0,-76.153280286225,43.0029984483794,37
1297814400000,513 FAYETTE BLVD,0,2.0,16.0,,2011.0,7.0,-76.0943668295314,43.0493528423051,38
1297814400000,640 MYRTLE ST,0,2.0,16.0,,2011.0,7.0,-76.1954786763409,43.050096438251,39
1297900800000,SOLAR ST & PLUM ST,0,2.0,17.0,,2011.0,7.0,-76.1575424257355,43.0566065966528,40
1297900800000,300 HOPE AVE,0,2.0,17.0,,2011.0,7.0,-76.1513480630494,43.0206234707431,41
1297987200000,232 W DIVISION ST,0,2.0,18.0,,2011.0,7.0,-76.1575546176705,43.059192750629,42
1298246400000,209 KENWICK DR,0,2.0,21.0,,2011.0,8.0,-76.1352721226436,43.0749985930133,43
1298332800000,304 SUNSET AVE,0,2.0,22.0,,2011.0,8.0,-76.1613909108206,43.0658969005507,44
1298419200000,206 MYRTLE ST,0,2.0,23.0,,2011.0,8.0,-76.1924171953947,43.0456418280344,45
1298851200000,1913 BELLEVUE AVE,0,2.0,28.0,,2011.0,9.0,-76.1855550332113,43.0324139455816,46
1298419200000,217 SCOTTHOLM BLVD,0,2.0,23.0,,2011.0,8.0,-76.1115207590579,43.0434521942782,47
1298505600000,E WILLOW ST & PROSPECT AVE,0,2.0,24.0,,2011.0,8.0,-76.1477750580243,43.0538697362894,48
1298937600000,515 DANFORTH ST,0,3.0,1.0,,2011.0,9.0,-76.1572859162977,43.0669184993164,49
1299024000000,519 DANFORTH ST,0,3.0,2.0,,2011.0,9.0,-76.1572532086382,43.0669625586579,50
1299024000000,519 DANFORTH ST,0,3.0,2.0,,2011.0,9.0,-76.1572532086382,43.0669625586579,51
1299196800000,2507 E FAYETTE ST,0,3.0,4.0,,2011.0,9.0,-76.1092892881966,43.0484226568921,52
1299456000000,170 INTREPID LA,0,3.0,7.0,,2011.0,10.0,-76.1281162329218,43.0034246570712,53
1299628800000,S WILBUR AVE & MAGNOLIA ST,0,3.0,9.0,,2011.0,10.0,-76.1740467152081,43.0424462127391,54
1299715200000,VAN RENSSELAER ST & W BEAR ST,0,3.0,10.0,,2011.0,10.0,-76.1701901605568,43.0611967615752,55
1300060800000,658 E DIVISION ST,0,3.0,14.0,,2011.0,11.0,-76.1489471447727,43.0633259938497,56
1300320000000,290 TEX SIMONE DR,0,3.0,17.0,,2011.0,11.0,-76.166954732534,43.078124168259,57
1300320000000,829 EMERSON AVE,0,3.0,17.0,,2011.0,11.0,-76.1913621348733,43.0580348806298,58
1300320000000,EMERSON AVE & ERIE BLVD W,0,3.0,17.0,,2011.0,11.0,-76.1966963274371,43.0599445510374,59
1300665600000,W GENESEE ST & N FRANKLIN ST,0,3.0,21.0,,2011.0,12.0,-76.1550570209063,43.0519588244318,60
1300838400000,MONTGOMERY ST & E JEFFERSON ST,0,3.0,23.0,,2011.0,12.0,-76.149341179094,43.0470506269436,61
1300924800000,DAWES AVE & S SALINA ST,0,3.0,24.0,,2011.0,12.0,-76.1425452101706,43.0088572204539,62
1301097600000,411 MONTGOMERY ST,0,3.0,26.0,,2011.0,13.0,-76.1487510380546,43.0465268130733,63
1301616000000,1000 ERIE BLVD W,0,4.0,1.0,,2011.0,13.0,-76.1753741646866,43.0481569751011,64
1302652800000,912 ERIE BLVD W,0,4.0,13.0,,2011.0,15.0,-76.1733134024754,43.0481462417986,65
1302652800000,JAMES ST & WOODBINE AVE,0,4.0,13.0,,2011.0,15.0,-76.1100569372345,43.0686861173162,66
1303948800000,807 S WEST ST,0,4.0,28.0,,2011.0,17.0,-76.1575479333065,43.0422366433761,67
1303689600000,334 FOREST HILL DR,0,4.0,25.0,,2011.0,17.0,-76.1109393487448,43.0630657820018,68
1303516800000,JAMES ST & WOODBINE AVE,0,4.0,23.0,,2011.0,17.0,-76.1100569372345,43.0686861173162,69
1303430400000,819 HIAWATHA BLVD E,0,4.0,22.0,,2011.0,16.0,-76.1603079055073,43.0792800801658,70
1303084800000,HIAWATHA BLVD E & FOURTH NORTH ST,0,4.0,18.0,,2011.0,16.0,-76.1606184728639,43.0787644487803,71
1305331200000,EMERSON AVE & LEWIS ST,0,5.0,14.0,,2011.0,20.0,-76.1896054281312,43.0561398518159,72
1305072000000,835 HIAWATHA BLVD W,0,5.0,11.0,,2011.0,19.0,-76.1779068128149,43.0610455458993,73
